ncesid,state_id,District,ADM,ADM_persqmile,stpov_count,stpov_rate,ELL_count,ELL_rate,sr_BEP,srpp_BEP,lr_BEP,lrpp_BEP,slr_BEP,slrpp_BEP,lr,lrpp,lr_pct,sr,srpp,sr_pct,slr,slrpp,perpupil_transp,total_transport_aid,transp_cost_perpupil
4700510,100,Carter County,4924.4737374999995,324.0211697262797,2370,0.48126970034430006,38,0.007716560596237722,30016000,6095.270601491355,14317000,2907.3157383246175,44333000,9002.586339815973,12072700.239999998,2487.677774572429,0.23454018681510655,32527387.029999997,6702.531842159488,0.6319198919017867,44600087.269999996,9190.209616731918,5180.257344166667,2062593.539965519,398.16430013619765
4700570,110,Cheatham County,5870.968175,297.82215669862524,1592,0.27116481516270524,102,0.017373625092082873,33136000,5644.043539718217,17095000,2911.785499501537,50231000,8555.829039219754,14688464.560000002,2499.738692988428,0.27201210733523984,34287199.720000006,5835.125888359429,0.6349563231993424,48975664.28000001,8334.864581347858,6186.5272233333335,2329856.026670183,376.6015961075565
4700600,120,Chester County,2755.7325,280.7674477840041,820,0.2975615376311017,8,0.0029030393915229435,17803000,6460.35128591037,6731000,2442.5447680426164,24534000,8902.896053952987,4111492.44,1480.0188768898488,0.1622134588619755,18564480.23,6682.678268538517,0.7324368447782097,22675972.67,8162.697145428367,2821.4891666666663,1298209.017365936,460.1148332246309
4700630,130,Claiborne County,3982.7200000000003,425.3225117471166,1648,0.41378756226900204,12,0.0030130162301140926,24635000,6185.47123573839,12904000,3239.996786116021,37539000,9425.46802185441,11387137.77,2867.574356585243,0.2504311149063227,26584225.59,6694.592190883908,0.5846523848130182,37971363.36,9562.16654746915,4183.496533333334,1990020.9456026892,475.6836607241256
4700660,140,Clay County,1075.6832775,245.3097554161916,417,0.38766057697685086,6,0.005577850028443897,7138000,6635.782250505424,2865000,2663.423388581961,10003000,9299.205639087384,2228183,2140.425552353506,0.18548499343197306,8089522,7770.914505283381,0.6734118943721416,10317705,9911.340057636888,1041.5158125,463091.052069524,444.63180156424556
4700690,061,Cleveland City,5474.058749999999,25.745737701062925,2314,0.4227210751072046,670,0.12239547118488636,29238000,5341.1922186622505,21064000,3847.9674702066363,50302000,9189.159688868887,19817092.299999997,3547.635571070533,0.34853689279375644,30831104.009999998,5519.352669172932,0.5422479256982885,50648196.309999995,9066.988240243465,5478.000416666666,1355578.5340628144,247.4586401889463
4700720,011,Clinton City,915.94075,11.75021167143462,273,0.2980542136595626,7,0.007642415734860579,4885000,5333.314409256276,4503000,4916.25686486817,9388000,10249.571274124446,4690328,5021.764453961456,0.43479838399801696,5132596,5495.284796573876,0.47579709702918127,9822924,10517.049250535332,NA,NA,NA
4700750,150,Cocke County,4342.2618075,421.78356556580866,2111,0.4861521699022981,38,0.008751199647696507,25663000,5910.053593653565,12055000,2776.2029408679314,37718000,8686.256534521497,10494806.879999999,2391.1612850307583,0.23055590802113624,27306204.68,6221.509382547277,0.5998782909103326,37801011.56,8612.670667578037,4439.653547499999,1718886.4425798687,387.1667967307463
4700780,160,Coffee County,4274.603407500001,387.4731152556201,1305,0.30529147983888133,110,0.025733381442357817,22463000,5254.99043036076,16432000,3844.0993078256693,38895000,9099.089738186429,15505768.749999998,3719.30169105301,0.34824432945061223,24150552.000000004,5792.888462461023,0.5423976664879737,39656320.75,9512.190153514031,4334.922978333333,1746728.1464034943,402.94329452540046
4700149,795,Collierville,8959.9252825,35.658413754472264,671,0.07488901735716008,496,0.05535760448457735,44498000,4966.33605716678,47826000,5337.767725966525,92324000,10304.103783133305,44706021.37,4938.254873522589,0.46628348694403554,44907908.989999995,4960.55550535734,0.4683891733938613,89613930.35999998,9898.810378879927,8307.259624166667,2031227.7949294043,244.51237674339143
4700850,170,Crockett County,1935.5049774999998,175.25398202643967,642,0.3316963828371245,97,0.050116120148288285,12792000,6609.127927184574,3734000,1929.2122951928707,16526000,8538.340222377445,2461031.05,1263.3629620123202,0.13558549569843636,13582520,6972.546201232033,0.7483012890202771,16043551.05,8235.909163244354,2901.6031475,991983.3775300217,341.8742423079832
4700900,180,Cumberland County,7072.63227,651.255273480663,2635,0.37256284497879033,158,0.022339631691327844,34320000,4852.507339533998,23617000,3339.20937755753,57937000,8191.716717091528,19957125.09,2846.9507974322396,0.30245102334562535,36570434.9,5216.895135520685,0.5542263933216431,56527559.989999995,8063.845932952923,7144.943286666666,3061582.186599707,428.496359420094
4703180,190,Davidson County,81875.97663975,507.9848157921677,43166.2558,0.5272151560393503,17310,0.21141732545265493,301872000,3686.9422801296273,762343000,9310.948477039476,1064215000,12997.890757169103,762801985.9200001,9278.24927530591,0.6092065135045335,379893049.91999996,4620.782955700975,0.30339894850593474,1142695035.8400002,13899.032231006886,82075.9664565,28221396.09624489,343.84482223797073
4700930,721,Dayton City,820.3050000000001,7.543034482758621,384,0.4681185656554574,82,0.0999628187076758,4868000,5934.378066694705,1806000,2201.620129098323,6674000,8135.998195793028,1753956.76,2118.3052657004832,0.2161824316568891,5179230.56,6255.109371980676,0.6383616073707948,6933187.319999999,8373.414637681159,NA,NA,NA
4700960,200,Decatur County,1507.5636749999999,321.9226297245355,689,0.4570287885186674,9,0.005969897092406396,9076000,6020.309556742272,4474000,2967.702176825135,13550000,8988.011733567408,3590375,2374.5866402116403,0.2334889532478368,9909626,6553.98544973545,0.6444419320593386,13500001,8928.57208994709,1572.7655566666665,733827.619412514,466.584238383116
4700990,210,DeKalb County,2806.168065,313.04864625167335,1162,0.4140878140882129,197,0.07020249515953352,17172000,6119.376887713246,5979000,2130.6635459840145,23151000,8250.04043369726,4975324,1758.686461647225,0.1828648390096641,18096701,6396.854365500177,0.6651326255277099,23072025,8155.540827147402,2822.4876072499997,1440176.5083166861,510.2507818342118
4701020,220,Dickson County,8061.525065,475.85886695000295,2306,0.28605009367418,218,0.02704202967084616,42051000,5216.258668297027,27331000,3390.3014354765887,69382000,8606.560103773616,28513849,3553.1276012461058,0.35868816549466986,43457655,5415.284112149533,0.5466728307584945,71971504,8968.411713395639,8192.073093333334,2990664.5575553277,365.06809979382564
4701050,230,Dyer County,3786.0149999999994,491.24367458154916,1344,0.3549906696090745,31,0.008188028837709308,21702000,5732.148446321529,12730000,3362.3744227109514,34432000,9094.52286903248,11610681.44,3098.660645850013,0.29395540365408024,23927857.72,6385.870755270883,0.6057976106749511,35538539.16,9484.531401120896,6396.506524166665,2252185.695132138,352.09620855120636
4701080,231,Dyersburg City,2501.81412,15.342246561229432,1234,0.4932420798712256,51,0.0203852075149372,13946000,5574.354980457141,10409000,4160.580882803555,24355000,9734.935863260696,9287052,3792.1812984891794,0.33186938077386774,15163090,6191.543487137607,0.5418474332779042,24450142,9983.724785626786,NA,NA,NA
4701110,101,Elizabethton City,2459.484695,9.19344174024207,730,0.29681014136174566,14,0.005692249286389644,14127000,5743.886119201892,11117000,4520.052522628119,25244000,10263.938641830011,9308281.889999999,3748.8046274667736,0.34470809247188244,14995037.94,6039.080926298831,0.5553023625545687,24303319.83,9787.885553765605,2456.91937,487063.333461018,198.24148053381904
4701140,542,Etowah City,361.73546749999997,2.500884712706456,152,0.4201965625612866,2,0.005528902138964298,2020000,5584.19116035394,1050000,2902.673622956256,3070000,8486.864783310197,925516.62,2556.6757458563534,0.24129539999294664,2218777.0399999996,6129.218342541435,0.5784668603379225,3144293.6599999997,8685.894088397788,358.8572133333334,56461.08856800687,157.3358050784438
4701170,240,Fayette County,3260.8597499999996,647.8958374726802,1550,0.4753347640909733,74,0.022693401640472274,16855000,5168.882225002165,12114000,3714.9711820632583,28969000,8883.853407065422,9884454,3032.0411042944784,0.2904040614744586,18454876,5661.00490797546,0.5422020219232656,28339330,8693.046012269939,3260.7551958333333,1683495.3903459765,516.2900276896545
4701200,521,Fayetteville City,1327.08,8.87803637969213,618,0.4656840582331133,14,0.010549477047352082,7871000,5931.066702836302,4037000,3042.017060011454,11908000,8973.083762847757,3689962,2789.086923658352,0.2687661854266056,8437483,6377.538170823885,0.6145619170364985,12127445,9166.625094482237,1392.2389050000002,315140.79658549756,226.3554016869666
4701230,250,Fentress County,2079.3900000000003,458.52039691289974,894,0.42993377865624044,7,0.0033663718686730237,12681000,6098.423095234659,3653000,1756.7652051803652,16334000,7855.188300415024,3180216,1528.2152811148487,0.15467313876287694,14480177,6958.278231619413,0.7042585869739726,17660393,8486.493512734263,2078.7504166666663,929026.4437522417,446.91581841843293
